quote,author
the world as we have created it is a process of our thinking. it cannot be changed without changing our thinking.,albert einstein
"it is our choices, harry, that show what we truly are, far more than our abilities.",j.k. rowling
there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.,albert einstein
"the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",jane austen
"imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",marilyn monroe
try not to become a man of success. rather become a man of value.,albert einstein
it is better to be hated for what you are than to be loved for what you are not.,andré gide
"i have not failed. i've just found 10,000 ways that won't work.",thomas a. edison
a woman is like a tea bag; you never know how strong it is until it's in hot water.,eleanor roosevelt
"a day without sunshine is like, you know, night.",steve martin
